eV,H,He,Li,U1,U2,U3,U4,U5
27.01075347,9.38E-249,4.97E-05,1.01E-262,1.37E-57,8.56E-69,0.42940488,9.54E-255,1.42E-48
27.35543232,5.25E-258,2.31E-06,2.21E-253,4.47E-62,1.08E-73,1.482801021,3.98E-264,1.34E-44
27.70450955,1.99E-267,7.24E-08,3.29E-244,9.88E-67,9.28E-79,3.466551313,1.12E-273,8.56E-41
28.05804128,5.12E-277,1.54E-09,3.32E-235,1.48E-71,5.39E-84,5.486700407,2.15E-283,3.70E-37
28.41608437,8.90E-287,2.22E-11,2.27E-226,1.50E-76,2.12E-89,5.879274224,2.78E-293,1.08E-33
28.77869636,1.05E-296,2.16E-13,1.05E-217,1.03E-81,5.63E-95,4.265157219,2.43E-303,2.14E-30
29.14593558,8.34E-307,1.42E-15,3.27E-209,4.80E-87,1.01E-100,2.094812845,1.4424766747e-313,2.87E-27
29.51786107,4.500585e-317,6.36E-18,6.93E-201,1.51E-92,1.24E-106,0.696553164,0,2.60E-24
29.89453262,0,1.92E-20,9.94E-193,3.22E-98,1.02E-112,0.156805816,0,1.60E-21
30.2760108,0,3.94E-23,9.65E-185,4.64E-104,5.70E-119,0.023898405,0,6.64E-19
30.66235695,0,5.46E-26,6.34E-177,4.53E-110,2.16E-125,0.002465895,0,1.87E-16
31.05363319,0,5.12E-29,2.82E-169,3.00E-116,5.52E-132,0.000172258,0,3.56E-14
31.44990242,0,3.25E-32,8.49E-162,1.34E-122,9.58E-139,8.15E-06,0,4.60E-12
31.85122837,0,1.40E-35,1.73E-154,4.07E-129,1.12E-145,2.61E-07,0,4.02E-10
32.25767556,0,4.07E-39,2.39E-147,8.35E-136,8.93E-153,5.65E-09,0,2.38E-08
32.66930934,0,8.03E-43,2.23E-140,1.16E-142,4.81E-160,8.30E-11,0,9.51E-07
33.08619589,0,1.07E-46,1.41E-133,1.09E-149,1.75E-167,8.24E-13,0,2.58E-05
33.50840226,0,9.68E-51,6.06E-127,6.95E-157,4.32E-175,5.55E-15,0,0.000473409
33.93599631,0,5.92E-55,1.76E-120,3.00E-164,7.21E-183,2.53E-17,0,0.005882356
34.36904681,0,2.45E-59,3.45E-114,8.74E-172,8.15E-191,7.79E-20,0,0.049484
34.80762338,0,6.87E-64,4.58E-108,1.73E-179,6.24E-199,1.63E-22,3.44e-321,0.281823456
35.25179653,0,1.30E-68,4.13E-102,2.31E-187,3.23E-207,2.30E-25,7.677809359537e-311,1.086646615
35.70163769,0,1.68E-73,2.51E-96,2.09E-195,1.13E-215,2.20E-28,1.16E-300,2.836601863
36.15721919,0,1.46E-78,1.04E-90,1.28E-203,2.69E-224,1.42E-31,1.18E-290,5.013110674
36.61861427,0,8.59E-84,2.90E-85,5.33E-212,4.33E-233,6.24E-35,8.17E-281,5.998118731
37.08589712,0,3.42E-89,5.48E-80,1.50E-220,4.71E-242,1.85E-38,3.82E-271,4.858717858
37.55914287,0,9.24E-95,7.01E-75,2.85E-229,3.47E-251,3.72E-42,1.21E-261,2.664570158
38.03842762,0,1.69E-100,6.07E-70,3.67E-238,1.73E-260,7.57E-46,2.60E-252,0.989307942
38.52382843,0,2.09E-106,3.56E-65,3.20E-247,5.85E-270,1.81E-42,3.77E-243,0.248676467
